"month","Forest","District","RAWS_station_nmbr","RAWS_station","snow_flag","year","bw_count"
"Jan","Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no",2014,1
"Jan","Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no",2015,0
"Jan","Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no",2016,1
"Jan","Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no",2017,1
"Jan","Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no",2018,0
"Jan","Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no",2019,3
"Jan","Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no",2020,2
"Jan","Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes",1999,0
"Jan","Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes",2000,2
"Jan","Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes",2001,0
"Jan","Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes",2002,1
"Jan","Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes",2003,0
"Jan","Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes",2004,0
"Jan","Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes",2005,0
"Jan","Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes",2006,0
"Jan","Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes",2007,0
"Jan","Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes",2008,0
"Jan","Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes",2009,0
"Jan","Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes",2010,0
"Jan","Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes",2011,0
"Jan","Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes",2012,0
"Jan","Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes",2013,0
"Jan","Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes",2014,0
"Jan","Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes",2015,0
"Jan","Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes",2016,0
"Jan","Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes",2017,0
"Jan","Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes",2018,0
"Jan","Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes",2019,0
"Jan","Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes",2020,2
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no",2000,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no",2001,11
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no",2002,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no",2003,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no",2004,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no",2005,3
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no",2006,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no",2007,4
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no",2008,1
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no",2009,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no",2010,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no",2011,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no",2012,2
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no",2013,2
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no",2014,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no",2015,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no",2016,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no",2017,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no",2018,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no",2019,4
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes",2000,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes",2001,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes",2002,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes",2003,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes",2004,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes",2005,3
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes",2006,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes",2007,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes",2008,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes",2009,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes",2010,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes",2011,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes",2012,2
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes",2013,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes",2014,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes",2015,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes",2016,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes",2017,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes",2018,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes",2019,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40246,"Dutch Indy","no",2010,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40246,"Dutch Indy","no",2011,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40246,"Dutch Indy","no",2012,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40246,"Dutch Indy","no",2013,1
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40246,"Dutch Indy","no",2014,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40246,"Dutch Indy","no",2015,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40246,"Dutch Indy","no",2016,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40246,"Dutch Indy","no",2017,1
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40246,"Dutch Indy","no",2018,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40246,"Dutch Indy","no",2019,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40246,"Dutch Indy","yes",2010,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40246,"Dutch Indy","yes",2011,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40246,"Dutch Indy","yes",2012,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40246,"Dutch Indy","yes",2013,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40246,"Dutch Indy","yes",2014,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40246,"Dutch Indy","yes",2015,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40246,"Dutch Indy","yes",2016,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40246,"Dutch Indy","yes",2017,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40246,"Dutch Indy","yes",2018,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40246,"Dutch Indy","yes",2019,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40218,"Oak Knoll","no",1999,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40218,"Oak Knoll","no",2000,2
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40218,"Oak Knoll","no",2001,9
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40218,"Oak Knoll","no",2002,7
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40218,"Oak Knoll","no",2003,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40218,"Oak Knoll","no",2004,1
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40218,"Oak Knoll","no",2005,1
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40218,"Oak Knoll","no",2006,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40218,"Oak Knoll","no",2007,8
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40218,"Oak Knoll","no",2008,3
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40218,"Oak Knoll","no",2009,2
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40218,"Oak Knoll","no",2010,1
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40218,"Oak Knoll","no",2011,1
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40218,"Oak Knoll","no",2012,1
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40218,"Oak Knoll","no",2013,2
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40218,"Oak Knoll","no",2014,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40218,"Oak Knoll","no",2015,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40218,"Oak Knoll","no",2016,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40218,"Oak Knoll","no",2017,2
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40218,"Oak Knoll","no",2018,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40218,"Oak Knoll","no",2019,1
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40218,"Oak Knoll","yes",1999,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40218,"Oak Knoll","yes",2000,2
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40218,"Oak Knoll","yes",2001,9
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40218,"Oak Knoll","yes",2002,3
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40218,"Oak Knoll","yes",2003,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40218,"Oak Knoll","yes",2004,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40218,"Oak Knoll","yes",2005,1
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40218,"Oak Knoll","yes",2006,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40218,"Oak Knoll","yes",2007,3
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40218,"Oak Knoll","yes",2008,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40218,"Oak Knoll","yes",2009,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40218,"Oak Knoll","yes",2010,1
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40218,"Oak Knoll","yes",2011,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40218,"Oak Knoll","yes",2012,1
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40218,"Oak Knoll","yes",2013,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40218,"Oak Knoll","yes",2014,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40218,"Oak Knoll","yes",2015,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40218,"Oak Knoll","yes",2016,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40218,"Oak Knoll","yes",2017,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40218,"Oak Knoll","yes",2018,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40218,"Oak Knoll","yes",2019,1
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40231,"Somes Bar","no",2004,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40231,"Somes Bar","no",2005,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40231,"Somes Bar","no",2006,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40231,"Somes Bar","no",2007,4
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40231,"Somes Bar","no",2008,2
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40231,"Somes Bar","no",2009,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40231,"Somes Bar","no",2010,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40231,"Somes Bar","no",2011,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40231,"Somes Bar","no",2012,1
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40231,"Somes Bar","no",2013,3
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40231,"Somes Bar","no",2014,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40231,"Somes Bar","no",2015,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40231,"Somes Bar","no",2016,1
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40231,"Somes Bar","no",2017,1
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40231,"Somes Bar","no",2018,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40231,"Somes Bar","no",2019,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40231,"Somes Bar","yes",2004,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40231,"Somes Bar","yes",2005,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40231,"Somes Bar","yes",2006,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40231,"Somes Bar","yes",2007,4
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40231,"Somes Bar","yes",2008,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40231,"Somes Bar","yes",2009,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40231,"Somes Bar","yes",2010,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40231,"Somes Bar","yes",2011,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40231,"Somes Bar","yes",2012,1
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40231,"Somes Bar","yes",2013,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40231,"Somes Bar","yes",2014,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40231,"Somes Bar","yes",2015,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40231,"Somes Bar","yes",2016,1
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40231,"Somes Bar","yes",2017,1
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40231,"Somes Bar","yes",2018,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40231,"Somes Bar","yes",2019,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40237,"Collins Baldy","no",2002,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40237,"Collins Baldy","no",2003,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40237,"Collins Baldy","no",2004,3
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40237,"Collins Baldy","no",2005,1
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40237,"Collins Baldy","no",2006,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40237,"Collins Baldy","no",2007,8
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40237,"Collins Baldy","no",2008,2
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40237,"Collins Baldy","no",2009,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40237,"Collins Baldy","no",2010,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40237,"Collins Baldy","no",2011,2
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40237,"Collins Baldy","no",2012,1
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40237,"Collins Baldy","no",2013,1
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40237,"Collins Baldy","no",2014,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40237,"Collins Baldy","no",2015,1
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40237,"Collins Baldy","no",2016,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40237,"Collins Baldy","no",2017,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40237,"Collins Baldy","no",2018,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40237,"Collins Baldy","no",2019,3
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40237,"Collins Baldy","yes",2002,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40237,"Collins Baldy","yes",2003,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40237,"Collins Baldy","yes",2004,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40237,"Collins Baldy","yes",2005,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40237,"Collins Baldy","yes",2006,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40237,"Collins Baldy","yes",2007,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40237,"Collins Baldy","yes",2008,1
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40237,"Collins Baldy","yes",2009,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40237,"Collins Baldy","yes",2010,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40237,"Collins Baldy","yes",2011,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40237,"Collins Baldy","yes",2012,1
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40237,"Collins Baldy","yes",2013,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40237,"Collins Baldy","yes",2014,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40237,"Collins Baldy","yes",2015,1
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40237,"Collins Baldy","yes",2016,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40237,"Collins Baldy","yes",2017,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40237,"Collins Baldy","yes",2018,0
"Jan","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll",40237,"Collins Baldy","yes",2019,0
"Jan","Klamath National Forest","Salmon Scott River Ranger District - Salmon River",40203,"Blue Ridge","no",2001,0
"Jan","Klamath National Forest","Salmon Scott River Ranger District - Salmon River",40203,"Blue Ridge","no",2002,4
"Jan","Klamath National Forest","Salmon Scott River Ranger District - Salmon River",40203,"Blue Ridge","no",2003,1
"Jan","Klamath National Forest","Salmon Scott River Ranger District - Salmon River",40203,"Blue Ridge","no",2004,3
"Jan","Klamath National Forest","Salmon Scott River Ranger District - Salmon River",40203,"Blue Ridge","no",2005,0
"Jan","Klamath National Forest","Salmon Scott River Ranger District - Salmon River",40203,"Blue Ridge","no",2006,0
"Jan","Klamath National Forest","Salmon Scott River Ranger District - Salmon River",40203,"Blue Ridge","no",2007,7
"Jan","Klamath National Forest","Salmon Scott River Ranger District - Salmon River",40203,"Blue Ridge","no",2008,1
"Jan","Klamath National Forest","Salmon Scott River Ranger District - Salmon River",40203,"Blue Ridge","no",2009,1
"Jan","Klamath National Forest","Salmon Scott River Ranger District - Salmon River",40203,"Blue Ridge","no",2010,1
"Jan","Klamath National Forest","Salmon Scott River Ranger District - Salmon River",40203,"Blue Ridge","no",2011,0
"Jan","Klamath National Forest","Salmon Scott River Ranger District - Salmon River",40203,"Blue Ridge","no",2012,1
"Jan","Klamath National Forest","Salmon Scott River Ranger District - Salmon River",40203,"Blue Ridge","no",2013,0
"Jan","Klamath National Forest","Salmon Scott River Ranger District - Salmon River",40203,"Blue Ridge","no",2014,0
"Jan","Klamath National Forest","Salmon Scott River Ranger District - Salmon River",40203,"Blue Ridge","no",2015,1
"Jan","Klamath National Forest","Salmon Scott River Ranger District - Salmon River",40203,"Blue Ridge","no",2016,0
"Jan","Klamath National Forest","Salmon Scott River Ranger District - Salmon River",40203,"Blue Ridge","no",2017,1
"Jan","Klamath National Forest","Salmon Scott River Ranger District - Salmon River",40203,"Blue Ridge","no",2018,0
