"Forest","District","RAWS_station","day_of_yr","snow_flag","date","prop_inRx","prop_BD","prop_PL","prop_BW"
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Sawyers Bar","01-Jan","yes",2020-01-01,0.111111111111111,0.444444444444444,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Somes Bar","01-Jan","no",2020-01-01,0.3125,0.3125,1,0.0625
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Somes Bar","01-Jan","yes",2020-01-01,0.25,0.3125,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Scott River","Callahan 2","01-Jan","no",2020-01-01,0.263157894736842,0.368421052631579,1,0.0526315789473684
"Klamath National Forest","Salmon Scott River Ranger District - Scott River","Callahan 2","01-Jan","yes",2020-01-01,0.105263157894737,0.368421052631579,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Scott River","Quartz Hill","01-Jan","no",2020-01-01,0.2,0.428571428571429,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Scott River","Quartz Hill","01-Jan","yes",2020-01-01,0.15,0.428571428571429,1,0
"Lake Tahoe Basin","Lake Tahoe Basin","Baron/Markleeville","01-Jan","no",2020-01-01,0.666666666666667,0.666666666666667,1,0.428571428571429
"Klamath National Forest","Goosenest Ranger District","Juanita","02-Jan","no",2020-01-02,0.277777777777778,0.277777777777778,1,0
"Klamath National Forest","Goosenest Ranger District","Juanita","02-Jan","yes",2020-01-02,0.0555555555555556,0.277777777777778,1,0
"Klamath National Forest","Goosenest Ranger District","Van Bremmer","02-Jan","no",2020-01-02,0.333333333333333,0.380952380952381,1,0
"Klamath National Forest","Goosenest Ranger District","Van Bremmer","02-Jan","yes",2020-01-02,0.0476190476190476,0.380952380952381,1,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Dutch Indy","02-Jan","no",2020-01-02,0.272727272727273,0.181818181818182,1,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Dutch Indy","02-Jan","yes",2020-01-02,0.0909090909090909,0.181818181818182,1,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Slater Butte","02-Jan","no",2020-01-02,0.4375,0.25,1,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Slater Butte","02-Jan","yes",2020-01-02,0.125,0.25,1,0
"Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Collins Baldy","02-Jan","no",2020-01-02,0.444444444444444,0.333333333333333,1,0
"Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Collins Baldy","02-Jan","yes",2020-01-02,0.166666666666667,0.333333333333333,1,0
"Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Oak Knoll","02-Jan","no",2020-01-02,0.142857142857143,0.380952380952381,1,0
"Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Oak Knoll","02-Jan","yes",2020-01-02,0.142857142857143,0.380952380952381,1,0
"Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Somes Bar","02-Jan","no",2020-01-02,0.25,0.3125,1,0
"Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Somes Bar","02-Jan","yes",2020-01-02,0.1875,0.3125,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Blue Ridge","02-Jan","no",2020-01-02,0.421052631578947,0.368421052631579,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Blue Ridge","02-Jan","yes",2020-01-02,0.105263157894737,0.368421052631579,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Collins Baldy","02-Jan","no",2020-01-02,0.444444444444444,0.333333333333333,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Collins Baldy","02-Jan","yes",2020-01-02,0.166666666666667,0.333333333333333,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Sawyers Bar","02-Jan","no",2020-01-02,0.0526315789473684,0.368421052631579,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Sawyers Bar","02-Jan","yes",2020-01-02,0.0526315789473684,0.368421052631579,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Somes Bar","02-Jan","no",2020-01-02,0.25,0.3125,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Somes Bar","02-Jan","yes",2020-01-02,0.1875,0.3125,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Scott River","Callahan 2","02-Jan","no",2020-01-02,0.421052631578947,0.315789473684211,1,0.0526315789473684
"Klamath National Forest","Salmon Scott River Ranger District - Scott River","Callahan 2","02-Jan","yes",2020-01-02,0.210526315789474,0.315789473684211,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Scott River","Quartz Hill","02-Jan","no",2020-01-02,0.4,0.333333333333333,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Scott River","Quartz Hill","02-Jan","yes",2020-01-02,0.25,0.333333333333333,1,0
"Lake Tahoe Basin","Lake Tahoe Basin","Baron/Markleeville","02-Jan","no",2020-01-02,0.523809523809524,0.666666666666667,1,0.238095238095238
"Klamath National Forest","Goosenest Ranger District","Juanita","03-Jan","no",2020-01-03,0.277777777777778,0.333333333333333,1,0.0555555555555556
"Klamath National Forest","Goosenest Ranger District","Juanita","03-Jan","yes",2020-01-03,0.111111111111111,0.333333333333333,1,0
"Klamath National Forest","Goosenest Ranger District","Van Bremmer","03-Jan","no",2020-01-03,0.380952380952381,0.428571428571429,1,0.0952380952380952
"Klamath National Forest","Goosenest Ranger District","Van Bremmer","03-Jan","yes",2020-01-03,0.0476190476190476,0.428571428571429,1,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Dutch Indy","03-Jan","no",2020-01-03,0,0.181818181818182,1,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Dutch Indy","03-Jan","yes",2020-01-03,0,0.181818181818182,1,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Slater Butte","03-Jan","no",2020-01-03,0.3125,0.3125,1,0.0625
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Slater Butte","03-Jan","yes",2020-01-03,0.1875,0.3125,1,0
"Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Collins Baldy","03-Jan","no",2020-01-03,0.368421052631579,0.421052631578947,1,0.0526315789473684
"Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Collins Baldy","03-Jan","yes",2020-01-03,0.111111111111111,0.388888888888889,1,0.0555555555555556
"Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Oak Knoll","03-Jan","no",2020-01-03,0.0952380952380952,0.428571428571429,1,0.0952380952380952
"Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Oak Knoll","03-Jan","yes",2020-01-03,0,0.428571428571429,1,0
"Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Somes Bar","03-Jan","no",2020-01-03,0,0.375,1,0
"Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Somes Bar","03-Jan","yes",2020-01-03,0,0.375,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Blue Ridge","03-Jan","no",2020-01-03,0.388888888888889,0.421052631578947,1,0.0555555555555556
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Blue Ridge","03-Jan","yes",2020-01-03,0.111111111111111,0.421052631578947,1,0.0555555555555556
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Collins Baldy","03-Jan","no",2020-01-03,0.368421052631579,0.421052631578947,1,0.0526315789473684
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Collins Baldy","03-Jan","yes",2020-01-03,0.111111111111111,0.388888888888889,1,0.0555555555555556
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Sawyers Bar","03-Jan","no",2020-01-03,0,0.368421052631579,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Sawyers Bar","03-Jan","yes",2020-01-03,0,0.368421052631579,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Somes Bar","03-Jan","no",2020-01-03,0,0.375,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Somes Bar","03-Jan","yes",2020-01-03,0,0.375,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Scott River","Callahan 2","03-Jan","no",2020-01-03,0.210526315789474,0.368421052631579,1,0.0526315789473684
"Klamath National Forest","Salmon Scott River Ranger District - Scott River","Callahan 2","03-Jan","yes",2020-01-03,0.157894736842105,0.368421052631579,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Scott River","Quartz Hill","03-Jan","no",2020-01-03,0.285714285714286,0.380952380952381,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Scott River","Quartz Hill","03-Jan","yes",2020-01-03,0.19047619047619,0.380952380952381,1,0
"Lake Tahoe Basin","Lake Tahoe Basin","Baron/Markleeville","03-Jan","no",2020-01-03,0.714285714285714,0.619047619047619,1,0.428571428571429
"Klamath National Forest","Goosenest Ranger District","Juanita","04-Jan","no",2020-01-04,0.294117647058824,0.352941176470588,1,0.0588235294117647
"Klamath National Forest","Goosenest Ranger District","Juanita","04-Jan","yes",2020-01-04,0.0588235294117647,0.352941176470588,1,0
"Klamath National Forest","Goosenest Ranger District","Van Bremmer","04-Jan","no",2020-01-04,0.380952380952381,0.428571428571429,1,0.0476190476190476
"Klamath National Forest","Goosenest Ranger District","Van Bremmer","04-Jan","yes",2020-01-04,0.0952380952380952,0.428571428571429,1,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Dutch Indy","04-Jan","no",2020-01-04,0.0909090909090909,0.0909090909090909,1,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Dutch Indy","04-Jan","yes",2020-01-04,0.0909090909090909,0.0909090909090909,1,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Slater Butte","04-Jan","no",2020-01-04,0.25,0.3125,1,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Slater Butte","04-Jan","yes",2020-01-04,0.0625,0.3125,1,0
"Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Collins Baldy","04-Jan","no",2020-01-04,0.263157894736842,0.421052631578947,1,0
"Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Collins Baldy","04-Jan","yes",2020-01-04,0.111111111111111,0.388888888888889,1,0
"Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Oak Knoll","04-Jan","no",2020-01-04,0.0952380952380952,0.428571428571429,1,0.0476190476190476
"Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Oak Knoll","04-Jan","yes",2020-01-04,0.0476190476190476,0.428571428571429,1,0
"Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Somes Bar","04-Jan","no",2020-01-04,0.0625,0.375,1,0
"Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Somes Bar","04-Jan","yes",2020-01-04,0,0.375,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Blue Ridge","04-Jan","no",2020-01-04,0.157894736842105,0.421052631578947,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Blue Ridge","04-Jan","yes",2020-01-04,0.105263157894737,0.421052631578947,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Collins Baldy","04-Jan","no",2020-01-04,0.263157894736842,0.421052631578947,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Collins Baldy","04-Jan","yes",2020-01-04,0.111111111111111,0.388888888888889,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Sawyers Bar","04-Jan","no",2020-01-04,0.157894736842105,0.368421052631579,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Sawyers Bar","04-Jan","yes",2020-01-04,0.105263157894737,0.368421052631579,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Somes Bar","04-Jan","no",2020-01-04,0.0625,0.375,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Somes Bar","04-Jan","yes",2020-01-04,0,0.375,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Scott River","Callahan 2","04-Jan","no",2020-01-04,0.263157894736842,0.368421052631579,1,0.105263157894737
"Klamath National Forest","Salmon Scott River Ranger District - Scott River","Callahan 2","04-Jan","yes",2020-01-04,0.157894736842105,0.368421052631579,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Scott River","Quartz Hill","04-Jan","no",2020-01-04,0.25,0.380952380952381,1,0.05
"Klamath National Forest","Salmon Scott River Ranger District - Scott River","Quartz Hill","04-Jan","yes",2020-01-04,0.15,0.380952380952381,1,0
"Lake Tahoe Basin","Lake Tahoe Basin","Baron/Markleeville","04-Jan","no",2020-01-04,0.523809523809524,0.523809523809524,1,0.238095238095238
"Klamath National Forest","Goosenest Ranger District","Juanita","05-Jan","no",2020-01-05,0.294117647058824,0.411764705882353,1,0.176470588235294
"Klamath National Forest","Goosenest Ranger District","Juanita","05-Jan","yes",2020-01-05,0.117647058823529,0.411764705882353,1,0
"Klamath National Forest","Goosenest Ranger District","Van Bremmer","05-Jan","no",2020-01-05,0.285714285714286,0.428571428571429,1,0.0952380952380952
"Klamath National Forest","Goosenest Ranger District","Van Bremmer","05-Jan","yes",2020-01-05,0.0952380952380952,0.428571428571429,1,0.0476190476190476
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Dutch Indy","05-Jan","no",2020-01-05,0,0.272727272727273,1,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Dutch Indy","05-Jan","yes",2020-01-05,0,0.272727272727273,1,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Slater Butte","05-Jan","no",2020-01-05,0.0625,0.375,1,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Slater Butte","05-Jan","yes",2020-01-05,0.0625,0.375,1,0
"Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Collins Baldy","05-Jan","no",2020-01-05,0.111111111111111,0.388888888888889,1,0
"Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Collins Baldy","05-Jan","yes",2020-01-05,0.0555555555555556,0.388888888888889,1,0
"Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Oak Knoll","05-Jan","no",2020-01-05,0.0952380952380952,0.428571428571429,1,0.0952380952380952
"Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Oak Knoll","05-Jan","yes",2020-01-05,0.0476190476190476,0.428571428571429,1,0.0476190476190476
"Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Somes Bar","05-Jan","no",2020-01-05,0,0.375,1,0
"Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Somes Bar","05-Jan","yes",2020-01-05,0,0.375,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Blue Ridge","05-Jan","no",2020-01-05,0.157894736842105,0.421052631578947,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Blue Ridge","05-Jan","yes",2020-01-05,0.0526315789473684,0.421052631578947,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Collins Baldy","05-Jan","no",2020-01-05,0.111111111111111,0.388888888888889,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Collins Baldy","05-Jan","yes",2020-01-05,0.0555555555555556,0.388888888888889,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Sawyers Bar","05-Jan","no",2020-01-05,0.105263157894737,0.368421052631579,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Sawyers Bar","05-Jan","yes",2020-01-05,0.105263157894737,0.368421052631579,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Somes Bar","05-Jan","no",2020-01-05,0,0.375,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Somes Bar","05-Jan","yes",2020-01-05,0,0.375,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Scott River","Callahan 2","05-Jan","no",2020-01-05,0.368421052631579,0.368421052631579,1,0.105263157894737
"Klamath National Forest","Salmon Scott River Ranger District - Scott River","Callahan 2","05-Jan","yes",2020-01-05,0.210526315789474,0.368421052631579,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Scott River","Quartz Hill","05-Jan","no",2020-01-05,0.2,0.380952380952381,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Scott River","Quartz Hill","05-Jan","yes",2020-01-05,0.2,0.380952380952381,1,0
"Lake Tahoe Basin","Lake Tahoe Basin","Baron/Markleeville","05-Jan","no",2020-01-05,0.571428571428571,0.380952380952381,1,0.142857142857143
"Klamath National Forest","Goosenest Ranger District","Juanita","06-Jan","no",2020-01-06,0.222222222222222,0.333333333333333,1,0.0555555555555556
"Klamath National Forest","Goosenest Ranger District","Juanita","06-Jan","yes",2020-01-06,0.111111111111111,0.333333333333333,1,0
"Klamath National Forest","Goosenest Ranger District","Van Bremmer","06-Jan","no",2020-01-06,0.380952380952381,0.380952380952381,1,0.0952380952380952
"Klamath National Forest","Goosenest Ranger District","Van Bremmer","06-Jan","yes",2020-01-06,0.142857142857143,0.380952380952381,1,0.0476190476190476
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Dutch Indy","06-Jan","no",2020-01-06,0.0909090909090909,0.272727272727273,1,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Dutch Indy","06-Jan","yes",2020-01-06,0.0909090909090909,0.272727272727273,1,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Slater Butte","06-Jan","no",2020-01-06,0.176470588235294,0.352941176470588,1,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Slater Butte","06-Jan","yes",2020-01-06,0,0.352941176470588,1,0
"Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Collins Baldy","06-Jan","no",2020-01-06,0.222222222222222,0.333333333333333,1,0
"Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Collins Baldy","06-Jan","yes",2020-01-06,0.111111111111111,0.333333333333333,1,0
"Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Oak Knoll","06-Jan","no",2020-01-06,0.142857142857143,0.380952380952381,1,0.0476190476190476
"Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Oak Knoll","06-Jan","yes",2020-01-06,0.0952380952380952,0.380952380952381,1,0
"Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Somes Bar","06-Jan","no",2020-01-06,0.0625,0.3125,1,0
"Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Somes Bar","06-Jan","yes",2020-01-06,0,0.3125,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Blue Ridge","06-Jan","no",2020-01-06,0.263157894736842,0.368421052631579,1,0.0526315789473684
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Blue Ridge","06-Jan","yes",2020-01-06,0.157894736842105,0.368421052631579,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Collins Baldy","06-Jan","no",2020-01-06,0.222222222222222,0.333333333333333,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Collins Baldy","06-Jan","yes",2020-01-06,0.111111111111111,0.333333333333333,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Sawyers Bar","06-Jan","no",2020-01-06,0.0526315789473684,0.315789473684211,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Sawyers Bar","06-Jan","yes",2020-01-06,0.0526315789473684,0.315789473684211,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Somes Bar","06-Jan","no",2020-01-06,0.0625,0.3125,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Somes Bar","06-Jan","yes",2020-01-06,0,0.3125,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Scott River","Callahan 2","06-Jan","no",2020-01-06,0.105263157894737,0.315789473684211,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Scott River","Callahan 2","06-Jan","yes",2020-01-06,0,0.315789473684211,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Scott River","Quartz Hill","06-Jan","no",2020-01-06,0.238095238095238,0.333333333333333,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Scott River","Quartz Hill","06-Jan","yes",2020-01-06,0.19047619047619,0.333333333333333,1,0
"Lake Tahoe Basin","Lake Tahoe Basin","Baron/Markleeville","06-Jan","no",2020-01-06,0.476190476190476,0.285714285714286,1,0.0476190476190476
"Klamath National Forest","Goosenest Ranger District","Juanita","07-Jan","no",2020-01-07,0.222222222222222,0.333333333333333,1,0.111111111111111
"Klamath National Forest","Goosenest Ranger District","Juanita","07-Jan","yes",2020-01-07,0.166666666666667,0.333333333333333,1,0.0555555555555556
"Klamath National Forest","Goosenest Ranger District","Van Bremmer","07-Jan","no",2020-01-07,0.333333333333333,0.428571428571429,1,0.0952380952380952
"Klamath National Forest","Goosenest Ranger District","Van Bremmer","07-Jan","yes",2020-01-07,0.0952380952380952,0.428571428571429,1,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Dutch Indy","07-Jan","no",2020-01-07,0.0909090909090909,0.181818181818182,1,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Dutch Indy","07-Jan","yes",2020-01-07,0.0909090909090909,0.181818181818182,1,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Slater Butte","07-Jan","no",2020-01-07,0.266666666666667,0.333333333333333,1,0.0666666666666667
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Slater Butte","07-Jan","yes",2020-01-07,0.133333333333333,0.333333333333333,1,0
"Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Collins Baldy","07-Jan","no",2020-01-07,0.210526315789474,0.368421052631579,1,0
"Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Collins Baldy","07-Jan","yes",2020-01-07,0.111111111111111,0.333333333333333,1,0
"Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Oak Knoll","07-Jan","no",2020-01-07,0.0476190476190476,0.428571428571429,1,0
"Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Oak Knoll","07-Jan","yes",2020-01-07,0.0476190476190476,0.428571428571429,1,0
"Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Somes Bar","07-Jan","no",2020-01-07,0,0.3125,1,0
"Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Somes Bar","07-Jan","yes",2020-01-07,0,0.3125,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Blue Ridge","07-Jan","no",2020-01-07,0.263157894736842,0.368421052631579,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Blue Ridge","07-Jan","yes",2020-01-07,0.105263157894737,0.368421052631579,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Collins Baldy","07-Jan","no",2020-01-07,0.210526315789474,0.368421052631579,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Collins Baldy","07-Jan","yes",2020-01-07,0.111111111111111,0.333333333333333,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Sawyers Bar","07-Jan","no",2020-01-07,0.105263157894737,0.368421052631579,1,0.0526315789473684
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Sawyers Bar","07-Jan","yes",2020-01-07,0.0526315789473684,0.368421052631579,1,0.0526315789473684
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Somes Bar","07-Jan","no",2020-01-07,0,0.3125,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Somes Bar","07-Jan","yes",2020-01-07,0,0.3125,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Scott River","Callahan 2","07-Jan","no",2020-01-07,0.263157894736842,0.368421052631579,1,0.105263157894737
"Klamath National Forest","Salmon Scott River Ranger District - Scott River","Callahan 2","07-Jan","yes",2020-01-07,0.157894736842105,0.368421052631579,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Scott River","Quartz Hill","07-Jan","no",2020-01-07,0.15,0.428571428571429,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Scott River","Quartz Hill","07-Jan","yes",2020-01-07,0.1,0.428571428571429,1,0
"Lake Tahoe Basin","Lake Tahoe Basin","Baron/Markleeville","07-Jan","no",2020-01-07,0.380952380952381,0.476190476190476,1,0.0476190476190476
"Klamath National Forest","Goosenest Ranger District","Juanita","08-Jan","no",2020-01-08,0.0555555555555556,0.444444444444444,1,0.0555555555555556
"Klamath National Forest","Goosenest Ranger District","Juanita","08-Jan","yes",2020-01-08,0.0555555555555556,0.444444444444444,1,0.0555555555555556
"Klamath National Forest","Goosenest Ranger District","Van Bremmer","08-Jan","no",2020-01-08,0.428571428571429,0.428571428571429,1,0.142857142857143
"Klamath National Forest","Goosenest Ranger District","Van Bremmer","08-Jan","yes",2020-01-08,0.0952380952380952,0.428571428571429,1,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Dutch Indy","08-Jan","no",2020-01-08,0,0.272727272727273,1,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Dutch Indy","08-Jan","yes",2020-01-08,0,0.272727272727273,1,0
