"month","Forest","District","RAWS_station","snow_flag","mean_percent","se_percent"
"Apr","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Collins Baldy","yes",7.84313725490196,1.93736008287936
"Apr","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Oak Knoll","no",36.3366174055829,3.47175884236896
"Apr","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Oak Knoll","yes",35.8366174055829,3.62807544412763
"Apr","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Somes Bar","no",22.3635057471264,3.14637840894994
"Apr","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Somes Bar","yes",22.3635057471264,3.14637840894994
"Apr","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Blue Ridge","no",10.3129527673138,2.18920839668388
"Apr","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Blue Ridge","yes",3.33333333333333,1.51247535495505
"Apr","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Collins Baldy","no",14.2656449553001,2.0468920102697
"Apr","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Collins Baldy","yes",7.84313725490196,1.93736008287936
"Apr","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Sawyers Bar","no",24.7380952380952,3.10658705982653
"Apr","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Sawyers Bar","yes",23.5714285714286,3.28255269053364
"Apr","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Somes Bar","no",22.3635057471264,3.14637840894994
"Apr","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Somes Bar","yes",22.3635057471264,3.14637840894994
"Apr","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Callahan 2","no",23.6631400208986,2.9815267404069
"Apr","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Callahan 2","yes",19.7237460815047,2.91040657658916
"Apr","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Quartz Hill","no",25.9363711001642,3.09956432741796
"Apr","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Quartz Hill","yes",21.9207717569787,3.37005644835811
"Apr","Lake Tahoe Basin","Lake Tahoe Basin","Baron/Markleeville","no",43.968253968254,2.67873309329892
"May","Klamath National Forest","Goosenest Ranger District","Juanita","no",26.3675778598156,2.19760269235076
"May","Klamath National Forest","Goosenest Ranger District","Juanita","yes",26.5467893293497,2.27811400943503
"May","Klamath National Forest","Goosenest Ranger District","Van Bremmer","no",20.6396359711849,2.70261371433126
"May","Klamath National Forest","Goosenest Ranger District","Van Bremmer","yes",20.6396359711849,2.70261371433126
"May","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Dutch Indy","no",25.1612903225806,4.50587673973268
"May","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Dutch Indy","yes",25.1612903225806,4.50587673973268
"May","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Slater Butte","no",15.2088613305119,2.66066860770878
"May","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Slater Butte","yes",12.152834165826,2.11733900449382
"May","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Collins Baldy","no",18.7508296827293,2.86467310955264
"May","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Collins Baldy","yes",18.3484433199803,2.95189309376196
"May","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Oak Knoll","no",33.014888337469,3.27493008279759
"May","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Oak Knoll","yes",33.014888337469,3.27493008279759
"May","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Somes Bar","no",24.7700119474313,3.88436582588502
"May","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Somes Bar","yes",24.7700119474313,3.88436582588502
"May","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Blue Ridge","no",15.2867383512545,3.00907368120696
"May","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Blue Ridge","yes",10.8064516129032,2.87748917602813
"May","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Collins Baldy","no",18.7508296827293,2.86467310955264
"May","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Collins Baldy","yes",18.3484433199803,2.95189309376196
"May","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Sawyers Bar","no",26.2903225806452,2.90676072290335
"May","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Sawyers Bar","yes",26.2903225806452,2.90676072290335
"May","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Somes Bar","no",24.7700119474313,3.88436582588502
"May","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Somes Bar","yes",24.7700119474313,3.88436582588502
"May","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Callahan 2","no",20.3987176918453,2.76011646240146
"May","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Callahan 2","yes",20.3987176918453,2.76011646240146
"May","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Quartz Hill","no",28.6152868266328,3.35083423078398
"May","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Quartz Hill","yes",28.7819534932994,3.34987783379865
"May","Lake Tahoe Basin","Lake Tahoe Basin","Baron/Markleeville","no",44.3932411674347,4.34447057223698
"Jun","Klamath National Forest","Goosenest Ranger District","Juanita","no",20.4333333333333,2.54561887143313
"Jun","Klamath National Forest","Goosenest Ranger District","Juanita","yes",20.6833333333333,2.55563532802013
"Jun","Klamath National Forest","Goosenest Ranger District","Van Bremmer","no",19.1521739130435,2.59363554811771
"Jun","Klamath National Forest","Goosenest Ranger District","Van Bremmer","yes",19.3188405797101,2.65744142681128
"Jun","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Dutch Indy","no",16.3333333333333,3.92679934379384
"Jun","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Dutch Indy","yes",16.3333333333333,3.92679934379384
"Jun","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Slater Butte","no",16.140350877193,2.42178704571329
"Jun","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Slater Butte","yes",16.140350877193,2.42178704571329
"Jun","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Collins Baldy","no",18.3333333333333,2.61621667446084
"Jun","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Collins Baldy","yes",19.6078431372549,2.60219792940921
"Jun","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Oak Knoll","no",22.9525373367738,2.77647211245508
"Jun","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Oak Knoll","yes",22.9525373367738,2.77647211245508
"Jun","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Somes Bar","no",20.9303830227743,3.1496242518648
"Jun","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Somes Bar","yes",20.9303830227743,3.1496242518648
"Jun","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Blue Ridge","no",15.3703703703704,2.9414387037136
"Jun","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Blue Ridge","yes",15.3703703703704,2.9414387037136
"Jun","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Collins Baldy","no",18.3333333333333,2.61621667446084
"Jun","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Collins Baldy","yes",19.6078431372549,2.60219792940921
"Jun","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Sawyers Bar","no",20.462962962963,3.18886353180936
"Jun","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Sawyers Bar","yes",20.462962962963,3.18886353180936
"Jun","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Somes Bar","no",20.9303830227743,3.1496242518648
"Jun","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Somes Bar","yes",20.9303830227743,3.1496242518648
"Jun","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Callahan 2","no",16.5755336617406,2.4226477011839
"Jun","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Callahan 2","yes",16.5755336617406,2.4226477011839
"Jun","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Quartz Hill","no",21.5638439283759,3.38870514135675
"Jun","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Quartz Hill","yes",21.7225740871061,3.45064853355576
"Jun","Lake Tahoe Basin","Lake Tahoe Basin","Baron/Markleeville","no",28.5714285714286,4.36175919906838
"Jul","Klamath National Forest","Goosenest Ranger District","Juanita","no",7.9082578526405,2.2469476635882
"Jul","Klamath National Forest","Goosenest Ranger District","Juanita","yes",7.9082578526405,2.2469476635882
"Jul","Klamath National Forest","Goosenest Ranger District","Van Bremmer","no",7.74193548387097,2.54646292146046
"Jul","Klamath National Forest","Goosenest Ranger District","Van Bremmer","yes",7.74193548387097,2.54646292146046
"Jul","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Dutch Indy","no",6.7741935483871,2.32864600297932
"Jul","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Dutch Indy","yes",6.7741935483871,2.32864600297932
"Jul","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Slater Butte","no",5.94227504244482,1.89903358636814
"Jul","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Slater Butte","yes",5.94227504244482,1.89903358636814
"Jul","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Collins Baldy","no",3.76344086021505,1.31045852973439
"Jul","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Collins Baldy","yes",3.76344086021505,1.31045852973439
"Jul","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Oak Knoll","no",6.75883256528418,2.23606533938745
"Jul","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Oak Knoll","yes",6.75883256528418,2.23606533938745
"Jul","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Somes Bar","no",4.43548387096774,1.37727832875801
"Jul","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Somes Bar","yes",4.43548387096774,1.37727832875801
"Jul","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Blue Ridge","no",5.09337860780985,1.94732886633676
"Jul","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Blue Ridge","yes",5.09337860780985,1.94732886633676
"Jul","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Collins Baldy","no",3.76344086021505,1.31045852973439
"Jul","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Collins Baldy","yes",3.76344086021505,1.31045852973439
"Jul","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Sawyers Bar","no",7.35817575083426,2.17337739168002
"Jul","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Sawyers Bar","yes",7.35817575083426,2.17337739168002
"Jul","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Somes Bar","no",4.43548387096774,1.37727832875801
"Jul","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Somes Bar","yes",4.43548387096774,1.37727832875801
"Jul","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Callahan 2","no",4.70967741935484,1.64491159595195
"Jul","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Callahan 2","yes",4.70967741935484,1.64491159595195
"Jul","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Quartz Hill","no",7.88536083864226,2.20129703348926
"Jul","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Quartz Hill","yes",7.94401186503522,2.2408318569557
"Jul","Lake Tahoe Basin","Lake Tahoe Basin","Baron/Markleeville","no",15.668202764977,3.90845718592885
"Aug","Klamath National Forest","Goosenest Ranger District","Juanita","no",6.17319508448541,3.88280231455791
"Aug","Klamath National Forest","Goosenest Ranger District","Juanita","yes",6.17319508448541,3.88280231455791
"Aug","Klamath National Forest","Goosenest Ranger District","Van Bremmer","no",3.54838709677419,1.65314816166171
"Aug","Klamath National Forest","Goosenest Ranger District","Van Bremmer","yes",3.54838709677419,1.65314816166171
"Aug","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Dutch Indy","no",6.12903225806452,3.67641311769436
"Aug","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Dutch Indy","yes",6.12903225806452,3.67641311769436
"Aug","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Slater Butte","no",2.37691001697793,1.20451593966003
"Aug","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Slater Butte","yes",2.37691001697793,1.20451593966003
"Aug","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Collins Baldy","no",4.12186379928315,2.08315621136938
"Aug","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Collins Baldy","yes",4.12186379928315,2.08315621136938
"Aug","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Oak Knoll","no",5.22273425499232,2.61948678922178
"Aug","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Oak Knoll","yes",5.22273425499232,2.61948678922178
"Aug","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Somes Bar","no",3.83064516129032,2.00196638504942
"Aug","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Somes Bar","yes",3.83064516129032,2.00196638504942
"Aug","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Blue Ridge","no",3.90492359932088,1.77164412478761
"Aug","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Blue Ridge","yes",3.90492359932088,1.77164412478761
"Aug","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Collins Baldy","no",4.12186379928315,2.08315621136938
"Aug","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Collins Baldy","yes",4.12186379928315,2.08315621136938
"Aug","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Sawyers Bar","no",4.51612903225806,2.00497764933576
"Aug","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Sawyers Bar","yes",4.51612903225806,2.00497764933576
"Aug","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Somes Bar","no",3.83064516129032,2.00196638504942
"Aug","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Somes Bar","yes",3.83064516129032,2.00196638504942
"Aug","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Callahan 2","no",2.41935483870968,1.27913229119158
"Aug","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Callahan 2","yes",2.41935483870968,1.27913229119158
"Aug","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Quartz Hill","no",7.24340175953079,2.91721306474879
"Aug","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Quartz Hill","yes",7.60703812316716,3.12678606796041
"Aug","Lake Tahoe Basin","Lake Tahoe Basin","Baron/Markleeville","no",7.21966205837174,2.7254384167394
"Sep","Klamath National Forest","Goosenest Ranger District","Juanita","no",7.77777777777778,2.0487876571762
"Sep","Klamath National Forest","Goosenest Ranger District","Juanita","yes",7.77777777777778,2.0487876571762
"Sep","Klamath National Forest","Goosenest Ranger District","Van Bremmer","no",11.0344827586207,2.92877390495629
"Sep","Klamath National Forest","Goosenest Ranger District","Van Bremmer","yes",11.0344827586207,2.92877390495629
"Sep","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Dutch Indy","no",6,2.03670030886926
"Sep","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Dutch Indy","yes",6,2.03670030886926
"Sep","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Slater Butte","no",8.62835249042146,2.47837781545083
"Sep","Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Slater Butte","yes",8.62835249042146,2.47837781545083
"Sep","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Collins Baldy","no",8.51851851851852,2.6296756570276
"Sep","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Collins Baldy","yes",8.51851851851852,2.6296756570276
"Sep","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Oak Knoll","no",9.60591133004926,2.20852332723743
"Sep","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Oak Knoll","yes",9.60591133004926,2.20852332723743
"Sep","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Somes Bar","no",9.79166666666667,3.13977986371538
"Sep","Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Somes Bar","yes",9.79166666666667,3.13977986371538
"Sep","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Blue Ridge","no",8.07017543859649,2.16769040852054
"Sep","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Blue Ridge","yes",8.07017543859649,2.16769040852054
"Sep","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Collins Baldy","no",8.51851851851852,2.6296756570276
"Sep","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Collins Baldy","yes",8.51851851851852,2.6296756570276
"Sep","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Sawyers Bar","no",8.83333333333333,1.92361440981835
"Sep","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Sawyers Bar","yes",8.83333333333333,1.92361440981835
"Sep","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Somes Bar","no",9.79166666666667,3.13977986371538
"Sep","Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Somes Bar","yes",9.79166666666667,3.13977986371538
"Sep","Klamath National Forest","Salmon Scott River Ranger District - Scott River","Callahan 2","no",11.8333333333333,3.06341360641631
